               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.014608,            0.027275,           0.0023032,             0.86613,             0.91204,             0.98848,             0.82303,            0.013183,            0.028068,           0.0025013,           0.0019277,           0.0019277,           0.0019277
                  55,            0.014188,            0.026708,           0.0023734,              0.7666,             0.80131,             0.94932,             0.80102,            0.013654,            0.029396,           0.0038723,           0.0017754,           0.0017754,           0.0017754
                  56,            0.014282,            0.027615,            0.002449,             0.76076,             0.81644,             0.96208,             0.78497,            0.013679,            0.029074,           0.0037172,           0.0016231,           0.0016231,           0.0016231
                  57,            0.013658,            0.025718,           0.0019498,              0.7824,             0.93054,             0.95821,              0.7806,            0.014891,            0.029447,           0.0032765,           0.0014708,           0.0014708,           0.0014708
                  58,            0.014005,             0.02719,           0.0023224,             0.77727,              0.8767,             0.95646,             0.80989,            0.013221,            0.028413,           0.0032196,           0.0013185,           0.0013185,           0.0013185
                  59,            0.013165,            0.026836,           0.0018303,             0.76323,             0.87696,             0.96857,             0.81026,            0.013484,            0.028504,           0.0031714,           0.0011662,           0.0011662,           0.0011662
                  60,              0.0132,            0.026899,           0.0021422,             0.78284,              0.9089,             0.98755,             0.83083,            0.012759,            0.027845,           0.0028245,           0.0010138,           0.0010138,           0.0010138
                  61,            0.013177,              0.0264,           0.0025447,              0.9385,             0.74308,             0.98016,             0.82137,            0.013155,             0.02835,           0.0032294,          0.00086154,          0.00086154,          0.00086154
                  62,            0.013311,            0.026523,            0.002287,             0.93053,             0.75136,             0.98675,             0.80916,            0.012854,             0.02813,           0.0034598,          0.00070923,          0.00070923,          0.00070923
                  63,            0.013132,             0.02579,           0.0018692,             0.93777,              0.7392,             0.97973,             0.81998,            0.013135,            0.028124,            0.003255,          0.00055692,          0.00055692,          0.00055692
                  64,            0.013191,            0.025549,           0.0024649,             0.76634,             0.92348,             0.98716,             0.82508,            0.012986,            0.027971,           0.0029854,          0.00040462,          0.00040462,          0.00040462
